no;brand;name;old_price;new_price;ml;concentration;department;scents;base_note;middle_note;item_rating;seller;seller_rating;num_seller_ratings;cluster
480;ming na;beibei bear blue par;20.09;20.09;50.0;edp;kids unisex;floral;patchouli earthy dry amber;sandalwood peppery lavender;4.09;royal scent;3.05;244.0;1
481;roberto cavalli;paradiso;500;165.0;75.0;edp;women;woody;pine tree cypress laurels;jasmine;4.06;hadayiq baris;3.08;122.0;0
482;lalique;encre noire;165;140.0;100.0;edt;men;woody;sandalwood;lemongrass;4.04;kikup;3.09;23.0;0
483;azzaro;visit;156;106.0;100.0;edt;men;woody;gray amber musk;lebanese cedar guaiac tree incense;4.03;beautiful live;412.0;7.0;2
485;trussardi;name;308;228.0;50.0;edp;women;floral;dry amber vanilla;lilac musk;4.06;noon;4.02;98.1;0
489;hugo boss;bottled intense;426;157.85;100.0;edp;men;spicy;sandalwood cedar vetiver vanilla;geranium cloves cinnamon;4.05;amlaq;3.09;135.0;0
491;estee lauder;private collection;505;197.0;50.0;edp;women;floral;sandalwood heliotrope amber musk;bulgarian rose chrysanthemum reseda ylangylang coriander;5.0;royal scent;3.09;69.0;0
493;burberry;beat;280;150.0;75.0;edp;women;floral;white musk vetiver cedar wood;ceylon tea iris bluebell;4.03;faces;4.02;61.0;0
494;lattafa;rouat al oud;99;45.0;100.0;edp;women;spicy;cedarwood patchouli vetiver musk;cardamom spicy notes;5.0;rihanna world store;4.04;8.0;0
495;yves saint laurent;la nuit de lhomme;536;314.0;100.0;edt;men;woody;vetiver caraway;bergamot virginia cedar lavender;5.0;first fragrance;412.0;7.0;2
496;ajmal;blu;177;139.95;90.0;edp;men;fresh;sandalwood musk amber;lotus jasmine;4.0;noon;4.02;98.1;0
497;mont blanc;legend;220;141.95;100.0;edt;men;spicy;sandalwood tonka evernyl;dried fruit oakmoss fused geranium rose apple;5.0;noon;4.02;98.1;0
498;hermes;terre hermes;474;173.0;100.0;edt;men;citrus;woody notes patchouli cedar;geranium;3.09;noon;4.02;98.1;0
500;roberto cavalli;dupont;360;120.0;75.0;edp;women;arabian;benzoin tonka bean vanille;african orange flower;4.06;starperfume;3.09;537.0;1
501;burberry;burberry body;13;8.05;2.0;edt;women;woody;absolute vanilla orchid tahitensis praline patchouli papyrus;rose damascena essence incense;4.0;princess beauty;3.08;467.0;1
502;bentley;intense;169;128.0;100.0;edp;men;spicy;leather benzoin incense cedar patchouli;clary sage african geranium cinnamon rum wood;4.03;parisian store;3.09;425.0;1
503;burberry;burberry;700;197.95;90.0;edp;women;floral oriental;damascus centifolia rose;geranium freesia flowers golden quince;4.07;grass gulf;3.09;135.0;0
505;lalique;encre noire;485;136.95;100.0;edt;men;woody;cashmere wood musk;haitian vetiver;4.05;parvant store;3.07;76.0;0
506;yves saint laurent;rive gauche homme;560;560.0;80.0;edt;men;aromatic;gaiac wood;patchouli vetiver;4.07;abu al tayyeb perfumes;3.05;63.0;0
507;lanvin paris;modern princess;356;174.0;90.0;edp;women;floral;white musk white woods vanilla orchid;jasmine freesia;5.0;ryhana perfume;4.02;25.0;0
508;giorgio armani;eau pour homme reno;361;186.0;50.0;edt;men;citrus;patchouli oakmoss sandalwood;cloves lily nutmeg;4.07;noon;4.02;98.1;0
509;nikos;sculpture homme;220;52.95;100.0;edt;men;floral;amber benzoin cedar tonka beans;geranium jasmine lily valley rose;4.05;noon;4.02;98.1;0
510;davidoff;brilliant game;215;93.75;100.0;edt;men;arabian;sensual addiction tonka bean note;charismatic virility cedarwood;4.02;noon;4.02;98.1;0
512;narciso rodriguez;narciso rodriguez;442;108.75;100.0;edt;women;woody;vetiver vanilla;egyptian musk amber;4.07;creativity star;3.07;319.0;1
513;parfums gres;cabotine;135;75.0;100.0;edt;women;floral;cedarwood vanilla tonka bean cybet musk amber;rose tuberose ylangylang ginger lily hyacinth heliotrope freesia violet iris;4.08;amlaq;3.09;135.0;0
514;elizabeth arden;green tea;77;72.95;100.0;edp;women;citrus;caraway amber musk green tea jasmine cloves oakmoss celery seeds;carnation muskjasmine oakmoss amber white fennel;5.0;golden perfumes;3.06;111.0;0
515;van cleef arpels;ambre imperial;730;479.0;75.0;edp;unisex;woody;woodsy notes;tonka bean vanilla amber benzoin;5.0;parfum;3.08;76.0;0
517;jcasanova;pandora;79.95;79.95;50.0;edp;women;fruity;cedar moss musk amber sandalwood;lilyofthevalley rose jasmine narcissus orchid;5.0;vipparfume;3.05;75.0;0
518;hugo boss;femme;316;139.95;75.0;edp;women;floral;apricot lemon wood;jasmine fleur de lys bulgarian rose;4.08;grass gulf;3.09;69.0;0
519;calvin klein;secret obsession;202;163.95;100.0;edp;women;woody;burnt amber cashere woods vanilla sandalwood;jasmine orange flower tuberose;5.0;chansles;3.09;33.0;0
525;penhaligons;portraits george;2350;886.0;75.0;edp;men;woody;tonka beans;shaving soap;5.0;beuatyone;4.02;1.3;0
526;burberry;london;241;140.0;50.0;edp;women;floral;sandalwood musk patchouli;tiare flower jasmine peony hint fresh clementine zest;4.06;starperfume;3.09;537.0;1
527;hugo boss;bottled unlimited;373;126.0;100.0;edt;men;vanilla;sandalwood musk;pineapple rose;4.04;alnajm;3.07;347.0;1
528;chanel;bleu de chanel;920;245.0;100.0;edt;men;citrus;labdanum sandalwod patchouli vetiver incense cedar white musk;ginger iso e super nutmeg jasmine;4.08;smart store;3.07;319.0;1
531;joop;homme;170;60.0;125.0;edt;men;citrus;vanilla tonka bean patchouli sandalwood;jasmine lili valley heliotrope;3.05;hadayiq baris;3.08;122.0;0
532;narciso rodriguez;narciso rodriguez;436;207.0;50.0;edp;women;floral;patchoulisandalwood;ambermusk;5.0;ahmed mohamed abbas abbas trading est;4.02;98.0;0
533;dolce gabbana;limperatrice;640;157.65;100.0;edt;women;floral;musk sandalwood lemon tree;watermelon cyclamen jasmine;4.0;noon;4.02;98.1;0
534;prada;amber intense;324;321.95;100.0;edp;men;spicy;creamy amber;vanilla;4.04;noon;4.02;98.1;0
536;azzaro;visit;310;110.0;100.0;edt;men;woody;amber musk;labdanum guaiac wood incense cedar;1.0;starperfume;3.09;537.0;1
537;rasasi;blue lady;59;27.0;40.0;edp;women;floral;sandalwood vetiver vanilla amber musk;peach plum narcissus jasmine;4.05;kathya;3.08;116.0;0
538;chanel;bleu de chanel;930;374.0;100.0;edp;men;woody;incense amber cedar sandalwood patchouli labdanum amber wood;ginger jasmine nutmeg melon;4.07;perfume ms;3.09;66.0;0
539;mini collection;sy eau de par;16.09;16.09;25.0;edp;women;jasmine;balsamic;bakhoor;5.0;warddah;3.07;56.0;0
541;mancera;musky garden;396;297.65;120.0;edp;women;floral;white musk blackberry raspberry amber;iris bulgarian rose indian jasmine patchouli leaf;5.0;tiffany;4.03;22.0;0
542;lacoste;eau de lacoste;420;139.0;90.0;edp;women;floral;sandalwood vetiver vanilla peru balsam;pineapple flower sambac jasmine rose orange flower;4.06;beautiful live;3.08;7.0;0
545;jaguar;classic;120;63.75;100.0;edt;men;arabian;sandalwood benzoin white musk;ginger orange blossom lotus;4.04;noon;4.02;98.1;0
546;davidoff;cool water;150;71.75;75.0;edt;men;aromatic;musk oakmoss cedar amber;sandalwood geranium neroli jasmine;4.01;noon;4.02;98.1;0
549;armaf;club de nuit intense;210;190.0;200.0;edp;men;jasmine;vanilla ambergris musk patchouli;rose jasmine birch;5.0;attractive perfume;3.05;244.0;0
550;genie;collection;36;14.04;25.0;edp;women;fruity;vegetal amber musk mahogany;magnolia lotus peony;4.0;moon perfume;3.07;199.0;1
552;houbigant;quelques fleurs loriginal;599;285.0;100.0;edp;women;floral;amber civet honey lichen musk sandalwood tonka beans vanilla;carnation heliotrope iris root jasmine lilac lily valley orchid tuberose violet ylangylang;5.0;amlaq;3.09;135.0;0
553;dolce gabbana;one royal night;630;290.75;100.0;edp;men;woody;sandalwood cedar amber labdanum;pear wood nutmeg;5.0;amlaq;3.09;135.0;0
554;givenchy;xeryus rouge;259;199.0;100.0;edt;men;woody;leather amber musk oakmoss balsam fir vetiver incense cedar;cyclamen coriander carnation cypress sandalwood juniper berries cinnamon tarragon petitgrain geranium;4.04;brides palace;3.05;32.0;0
555;ajmal;sacrifice;153;70.0;50.0;edp;women;floral;woody oriental musky;floral musky;4.06;rayhanti;3.05;27.0;0
558;mancera;roses vanille;485;248.85;120.0;edp;women;vanilla;vanilla sugar white musk cedar;rose sugar;5.0;noon;4.02;98.1;0
559;dorall collection;dc;29;9.03;100.0;edt;men;floral;vetiver patchouli oakmoss musk sandalwood;galbanum rosemary jasmine coumarin;4.0;bag;3.07;14.1;0
560;coach;new york;05.06;5.06;2.0;edt;men;citrus;vetiver suede ambergris;cardamom coriander geranium;4.07;princess beauty;3.08;467.0;1
561;giorgio armani;code;513;265.0;75.0;edt;men;citrus;tobacco leather tonka bean;olive flower spiced star anise;5.0;goldiaa;4.01;135.0;0
563;loewe;esencia;529;200.0;100.0;edt;men;woody;cedar musk sandalwood;cardamom pepper;4.05;parfumestor;4.03;118.0;0
564;parfums de marly;delina exclusive;1696;785.0;75.0;edp;women;woody;woody amber vanilla;turkish rose incense burning oud;4.0;golden perfumes;3.06;111.0;0
566;jaguar;classic blue;290;67.0;100.0;edt;men;spicy;sandalwood benzoin white musk;ginger orange blossom lotus;4.07;beauty gallery;4.02;59.0;0
567;nicolai;patchouli intense;1714;653.65;100.0;edp;unisex;floral;sandalwood amber vanilla;ceylon cinnamon rose patchouli;5.0;noon;4.02;98.4;0
570;aramis;herbal spray;179;100.0;100.0;edc;men;woody;sandalwood amber patchouli civet oakmoss vetiver;carnation orris root jasmine lilyofthevalley rose geranium;4.0;starperfume;3.09;537.0;1
575;ajmal;wisal;58;58.0;50.0;edp;women;floral;rose sensual musk;sandalwood;5.0;alkhalijiah perfume;3.05;75.0;0
577;stdupont;passenger;294;99.0;100.0;edt;men;spicy;paraguayan lignum vitae indonesian patchouli laotian benzoin copper accords;indian ginger guatemalan cardamom mauritanian red pepper lavender;5.0;london store;3.07;23.0;0
579;hugo boss;hugo;395;99.0;125.0;edt;men;fresh;patchouli fir cedar;carnation sage geranium jasmine;4.05;cute shop;4.02;98.0;0
580;bvlgari;petits et mamans;254;193.95;100.0;edt;women;floral;iris vanilla white peach powdery notes;sunflower chamomile rose;4.08;noon;4.02;98.1;0
581;dorall collection;eternally hot;29;8.0;100.0;edt;women;woody;vanilla musk;gardenia jasmine;4.05;bag;3.07;14.1;0
582;dunhill;desire;111;54.95;30.0;edt;men;fresh;vanilla musk labdanum;rose teakwood patchouli;4.08;starperfume;3.09;537.0;1
584;avon;always;84;84.0;50.0;edp;women;floral;cashmere woods;orange blossoms;5.0;neo lek;3.05;88.0;0
586;guess;marciano;128;109.95;100.0;edp;women;floral;musk vanilla woody notes;peony jasmine honeysuckle;5.0;parvant store;3.08;76.0;0
587;lalique;encre noire;485;134.95;100.0;edt;men;woody;cashmere wood musk;haiti vetiver bourbon vetiver;4.05;abu al tayyeb perfumes;4.02;59.0;0
590;sedr alkhaleej perfumes;ever;34.85;34.85;100.0;edp;men;fresh;woody musk amber;praline cardamom cinnamon;4.0;noon;4.02;98.1;0
591;givenchy;organza;550;251.65;100.0;edp;women;arabian;guaiac wood woodsy notes virginia cedar amber vanilla;peony walnut iris jasmine tuberose honeysuckle;4.08;noon genuine product;4.02;98.1;0
592;roberto cavalli;uomo;452;126.0;100.0;edt;men;floral;cedar tonka bean patchouli;honey lavender;4.06;noon;4.02;98.1;0
594;montblanc;mont blanc legend;220;140.0;100.0;edt;men;floral;vanilla amber;jasmine geranium neroli ylangylan;4.08;alnajm;3.07;347.0;1
596;dunhill;desire extreme;230;114.75;100.0;edt;men;spicy;amber musk;evergreen cypress;4.09;amlaq;3.09;135.0;0
601;coach;floral;337;165.75;90.0;edp;women;floral;patchouli woody notes musk;tea rose jasmine sambac gardenia;5.0;noon;4.02;98.1;0
602;roberto cavalli;uomo;452;134.95;100.0;edt;men;floral;cedar patchouli tonka bean;honey lavender;4.06;noon genuine product;3.06;98.1;0
603;diesel;plus plus feminine;99;41.0;75.0;edt;women;oriental;musk sandalwood virginia cedar amber nutmeg vanille orris root;jasmine coconut magnolia orchid lily cherry big strawberry red apple milk;4.04;kaya;4.03;4.0;0
604;dorall collection;classic black;9;8.08;100.0;edt;men;fresh;chocolatecashmere wood patchouli tonka bean;basil verbena lavender;4.0;beauty;3.06;538.0;1
605;calvin klein;beauty;380;115.0;100.0;edp;women;floral;vanilla musk sandalwood guaiac wood amber;cardamom pepper flowers;5.0;starperfume;3.09;537.0;1
606;montblanc;emblem ed;22.04;22.04;5.0;edt;men;spicy;woodsy tonka bean;violet leaf cinnamon;4.08;starperfume;3.09;537.0;1
607;carolina herrera;sexy;420;151.0;100.0;edp;women;floral;cotton candymusksandalwoodvanilla;gardeniageranium;4.07;alnajm;3.07;347.0;1
608;burberry;brit rhythm;360;119.95;90.0;edt;men;woody;cedarwood tonka bean;black leather patchouli styrax;4.0;hadayiq baris;3.08;122.0;0
609;lanvin;oxygene;206;116.0;75.0;edp;women;floral;white musk sandalwood;rose milk gardenia;4.03;dior fragrances;3.09;69.0;0
610;hugo boss;boss;375;105.0;100.0;edt;men;woody;sandalwood vetiver cedarwood vanilla;geranium cinnamon cloves;4.07;acacia rose;4.04;77.0;0
611;sedr alkhaleej perfumes;love touch body sp;12.09;12.09;125.0;edt;women;floral;leathermusk;tiare flowerrose;5.0;noon;4.02;98.1;0
613;genie;london burberry;18;16.0;25.0;edp;women;floral;wood musk;jasmine tiare flower soft peony;4.09;parisian store;3.09;425.0;1
614;carolina herrera;vip;363;160.0;100.0;edt;men;vanilla;king wood salty amber tonka beans;chilled vodka hot ginger slice apple;5.0;alnajm;3.07;347.0;1
616;emper;tool box;88;54.95;100.0;edt;men;oriental;geranium amber white musks;patchouli vetiver lavender;5.0;golen dream;3.08;88.0;0
617;shiseido;zen;597;260.0;100.0;edp;women;floral;patchouli cedarwood skin musk white musk marine amber incense;freesia gardenia red apple violet lily valley hyacinth chinese rose lotus flower;5.0;faces;3.09;61.0;0
618;juicy couture;viva la juicy;355;144.0;100.0;edp;women;floral;amber caramel praline sandalwood vanilla;honeysuckle gardenia jasmine;4.07;art ti ci;3.09;41.0;0
622;montblanc;lady emblem;410;155.0;75.0;edp;women;floral;musk raspberry;sandalwood patchouli rosewood;5.0;noon;4.02;98.1;0
624;tom ford;black orchid;495;211.0;50.0;edp;women;spicy;incenselotuspatchoulisandalwoodvanillavetiver;black orchidfruity notestuberose;5.0;number one;3.07;347.0;1
625;dolce gabbana;pour femme;356;165.0;100.0;edp;women;floral;marshmallow sandalwood vanilla;jasmine orange blossom;5.0;hadayiq baris;3.08;122.0;0
627;hugo boss;boss bottled man today;487;177.0;100.0;edt;men;woody;vanilla sandalwood vetiver cedarwood olivewood amberlikenotes musklikenotes;geranium cinnamon cloves;4.01;acacia rose;4.04;5.0;0
630;calvin klein;beauty;145;110.0;100.0;edp;women;floral;virginia cedar;jasmine;5.0;starperfume;4.02;537.0;1
634;ajmal;wisal;79;60.0;50.0;edp;unisex;floral;floral musky;spicy floral;5.0;alkhalijiah perfume;3.05;88.0;0
635;carolina herrera;wild party;232.95;232.95;80.0;edp;women;floral;musk woody accord;orange blossom sun rose orchid;4.05;number one;3.08;66.0;0
636;estee lauder;modern muse chic;472;275.0;100.0;edp;women;woody;cashmere wood agarwood oud labdanum patchouli ebony tree musk madagascar vanilla suede;jasmine sambac tuberose lily;4.05;faces;3.09;61.0;0
638;dolce gabbana;k;338;269.0;100.0;edt;men;woody;blood orange pressed sicilian lemon juniper berries;pimento clary sage geranium lavandin;4.01;grass gulf;3.07;98.0;0
639;mancera;roses vanille;390;229.0;120.0;edp;women;oriental;sugar vanilla cedar white musk;rose sugar;4.0;noon;4.02;98.1;0
640;dorall collection;lady dorall;0,635416667;0.635416667;100.0;edt;women;spicy;apricot amber lemon tree;lily jasmine rose;4.0;princess beauty;3.08;467.0;1
641;aramis;brown;161;104.0;110.0;edt;men;floral;leather oakmoss amber;pelargonium patchouli vetiver sandalwood;4.0;top langri;3.07;347.0;1
642;mancera;red;711;365.0;120.0;edp;unisex;woody spicy;tobacco amber guaiac wood sandalwood haitian vetiver madagascar vanilla white musk;patchouli jasmine;4.09;top langri;3.07;347.0;0
646;burberry;burberry;700;197.95;90.0;edp;women;floral oriental;damascus centifolia rose;geranium freesia flowers golden quince;4.07;grass gulf;3.07;135.0;0
647;joop;homme;223;55.0;125.0;edt;men;citrus;vanilla tonka bean patchouli sandalwood;jasmine lily valley heliotrope cinnamon;4.04;hadayiq baris;3.08;122.0;0
651;carolina herrera;vip rose;445;135.0;80.0;edp;women;floral;woody notes white musk amber;peach blossom;5.0;;3.08;66.0;0
652;caron;pour un homme de caron;404;176.0;200.0;edt;men;vanilla;musk;vanilla;3.0;diorworld;3.05;63.0;0
654;rasasi;oud almubakhar;40;30.85;100.0;edp;men;arabian;sandalwood tonka bean musk patchouli;turkish rose violet geranium;4.0;noon;4.02;98.1;0
655;gucci;rush;489;219.85;75.0;edt;women;floral;vetiver patchouli vanilla;jasmine damask rose coriander;5.0;noon;4.02;98.1;0
657;burberry;touch;314;154.95;100.0;edp;women;floral;almondscedaroakmosstonka beansvanilla;jasminelilylily valleypeachpeonyraspberrytuberose;4.0;noon original genuine product;4.02;98.1;0
659;jcasanova;plaisir;145;75.0;100.0;edp;women;fresh;sandalwood musk vanilla orchid cedar;clove damascus plum pear ylang ylang;4.05;tiffany;3.08;75.0;0
663;mont blanc;legend;220;141.95;100.0;edt;men;spicy;sandalwood tonka evernyl;dried fruit oakmoss fused geranium rose apple;5.0;noon;4.02;98.1;0
664;calvin klein;ck one;448;107.0;200.0;edt;men;citrus;sandalwood amber musk cedar oak moss;nutmeg violet orris root jasmine lilyofthevalley rose;4.05;amlaq;3.09;135.0;0
665;la perla;divina;107;62.0;50.0;edt;women;fruity;musk amber vanilla woody notes;jasmine african orange pink;4.05;golden;3.05;63.0;0
667;dorall collection;green secret;27;9.05;100.0;edt;men;fruity;moss sandalwood coumarin;ylang geranium jasmine;2.0;bag;3.07;14.1;0
668;dorall collection;lancy;27;0.517361111;100.0;edt;women;spicy;tonka praline patchouli vanilla;iris orange blossom jasmine;4.05;beauty;3.05;538.0;1
669;lancome;miracle;426;200.0;100.0;edp;women;arabian;amber musk jasmine;magnolia ginger mandarin orange pepper jasmine;4.05;beuatyone;4.04;537.0;1
670;armani;code absolu ed;08.05;8.05;2.0;edp;men;floral;vanilla amber musk patchouli;jasmine geranium neroli ylangylang;5.0;princess beauty;3.08;467.0;1
671;davidoff;cool water;360;76.95;125.0;edt;men;woody;amber cedar musk oakmoss tobacco;geranium jasmine neroli sandalwood;4.05;hadayiq baris;3.08;122.0;0
672;lacoste;l blanc;244;88.0;100.0;edt;men;woody;leather suede cedar;mexican tuberose ylangylang;3.07;hadayiq baris;3.08;122.0;0
676;dorall collection;pink hearts;29;8.15;100.0;edt;women;floral;caramel musk tonka sandalwood vanilla;red berries lily valley licorice cotton candy strawberry;4.04;bag;3.09;14.1;0
677;hugo boss;natural spray;595;140.0;75.0;edp;women;oriental;apricot amber lemon tree;bulgarian rose jasmine lily;4.0;parisian store;3.09;425.0;1
681;calvin klein;sheer beauty essence;415;167.95;100.0;edt;women;floral;musk vanilla cedar;lilac magnolia turkish rose peony;4.05;noon genuine product;4.02;98.1;0
682;davidoff;game;215;83.95;100.0;edt;men;woody;ebony wood;iris woody notes;4.09;noon;4.02;98.1;0
683;dorall collection;oud wood;19;9.09;100.0;pdt;unisex;citrus;cedar tobacco patchouli sandalwood musk;geranium marigold rose bay leaves;4.03;bag;3.07;14.1;0
684;mancera;rose greedy;446;269.0;120.0;edp;unisex;rose floral;white musk amber vanilla sugar;rose jasmine flowers;4.05;amlaq;3.09;135.0;0
686;lacoste;challenge;300;144.95;90.0;edt;men;citrus;ginger jasmine juniper nutmeg pepper violet whisky;amber musk wood;4.08;beautiful live;3.09;7.0;0
689;genie;collection;43;24.85;25.0;edp;women;floral;liquid amber black violet cream mahogany;lotus blossom champaca flower black orchid;4.02;parisian store;3.09;425.0;1
692;jcasanova;paris vivaldi;90;90.0;100.0;edp;women;fruity;cedar moss musk amber sandalwood;lilyofthevalley rose jasmine narcissus orchid;3.0;grass gulf;454.0;9.0;2
693;calvin klein;beauty;380;118.0;100.0;edp;women;floral;virginia cedar;jasmine;4.06;amlaq;3.09;135.0;0
694;lacoste;essential;336;148.65;125.0;edt;men;citrus;sandalwood patchouli;pepper rose;3.03;amlaq;3.09;135.0;0
696;rasasi;shuhrah;77.95;77.95;90.0;edp;men;floral;amber musk oakmoss agarwood leathery;rose sandalwood cedarjasmine;5.0;vipparfume;3.07;23.0;0
697;cacharel;yes ed;15;8.09;2.0;edt;women;jasmine;milk sandalwood cardamom;ginger flower jasmine gardenia;1.0;royal scent;3.05;5.0;0
699;chanel;bleu de chanel;920;245.0;100.0;edt;men;citrus;labdanum sandalwod patchouli vetiver incense cedar white musk;ginger iso e super nutmeg jasmine;4.08;smart store;4.01;319.0;1
700;dolce gabbana;pour femme;566;195.0;100.0;edp;women;floral;guimave vanilla heliotrope sandalwood;jasmine orange blossom;5.0;parfumestor;3.09;66.0;0
701;arabian oud;sheikh al shuyukh;54;54.0;100.0;edp;men;woody;vetiver patchouli;lavender sage rosemary;5.0;vipparfume;445.0;8.0;2
703;issey miyake;leau dissey pour homme;220;155.75;125.0;edt;men;floral;coriander;nutmeg;5.0;noon;4.02;98.1;0
704;chanel;bleu de chanel;930;374.0;100.0;edp;men;woody;incense amber cedar sandalwood patchouli labdanum amber wood;ginger jasmine nutmeg melon;4.07;perfume ms;4.01;66.0;0
705;lattafa;musk mood;48;48.0;100.0;edp;unisex;woody;musk incense amber resins woody note;patchouli caramel agarwood oud floral notes;5.0;rihanna world store;445.0;8.0;2
706;yves saint laurent;black opium;620;364.65;90.0;edp;women;vanilla;musk white wood;jasmine tea orrange blossom coffee;4.08;noon;4.02;98.1;0
708;elizabeth arden;red door;128.95;128.95;100.0;edt;women;floral;honey sandalwood vetiver;orchid jasmine lilyofthe valley orange blossomwild violet freesia;5.0;golden perfumes;3.06;111.0;0
709;guess;seductive;177;86.75;75.0;edt;women;spicy;vanille olibanum cashmere wood;jasmine african orange flower orris root;5.0;noon;4.02;98.1;0
711;nina ricci;mademoiselle ricci;206;117.0;50.0;edp;women;floral;white wood musk amber cedar violet;nerium oleander rose hip laurels;4.05;amlaq;3.09;135.0;0
712;jaguar;classic black;60;60.0;100.0;edt;men;aromatic;sandalwood oakmoss tonka beans virginia cedar vetiver musk;cardamom black tea leaves geranium nutmeg;4.03;perfumesaddresses;4.04;59.0;0
715;diesel;plus plus masculine;50;30.0;75.0;edt;men;spicy;vetiver musk sandalwood patchouli oak moss nutmeg clove cinnamon tonka bean anise;jasmine birch sage cardamom coriander lilyofthevalley violet green notes;4.05;attractive perfume;3.08;244.0;1
716;jaguar;classic blue;290;67.0;100.0;edt;men;spicy;sandalwood benzoin white musk;ginger orange blossom lotus;4.07;beauty gallery;4.03;59.0;0
718;burberry;body tender;373;114.0;85.0;edt;women;floral;cashmeran amber musk;dewy english roses white jasmine sandalwood;5.0;number one;4.02;537.0;1
719;calvin klein;eternity;463;95.0;100.0;edt;men;floral;sandalwood vetiver rosewood ambergris;jasmine geranium sage;4.05;hadayiq baris;3.08;122.0;0
722;tommy hilfiger;tommy girl;380;122.95;100.0;edt;women;citrus;desert jasmin cherokee rose magnolia petals dakota lilies cedar sandalwood wild heather;grapefruit citrus orchards crisp green notes honeysuckle butterfly violets;4.04;parvant store;4.01;76.0;0
723;rasasi;oud al misk;59;59.0;100.0;edp;women;oriental;cedar vetiver patchouli sandalwood ambergris musk;geranium jasmine;3.0;hawas;454.0;9.0;2
724;alina corel;beach palm;24.95;24.95;100.0;edp;women;fresh;himalayan cedar warm woman skin accord sandal incense;heliotrope jasmine alliance hibiscus blossom bulgarian rose;2.03;noon;4.02;98.1;0
726;rasasi;romance;79;37.0;45.0;edp;women;floral;powdery;fruity woody;5.0;bag;3.05;14.1;0
727;lalique;encre noire;485;134.95;100.0;edt;men;woody;cashmere wood musk;haiti vetiver bourbon vetiver;4.05;abu al tayyeb perfumes;3.06;59.0;0
729;lalique;encre noire;485;136.95;100.0;edt;men;woody;cashmere wood musk;haitian vetiver;4.05;parvant store;4.01;76.0;0
731;franck olivier;oud touch;163;85.0;100.0;edp;men;woody;amber musk vanilla;violet patchouli rose jasmine olibanum;4.07;beautiful live;3.09;7.0;0
737;roberto cavalli;uomo;452;126.0;100.0;edt;men;floral;cedar tonka bean patchouli;honey lavender;4.06;noon;4.02;98.1;0
738;boucheron;quatre absolue de nuit;125.95;125.95;100.0;edp;women;arabian;sandalwood vanilla amberwood;jasmine tonka bean pear;4.08;kingperfume;3.09;450.0;1
