no;brand;name;old_price;new_price;ml;concentration;department;scents;base_note;middle_note;item_rating;seller;seller_rating;num_seller_ratings;cluster
741;roberto cavalli;uomo;452;134.95;100.0;edt;men;floral;cedar patchouli tonka bean;honey lavender;4.06;noon;4.02;98.1;0
742;guerlain;lhomme ideal;06.05;6.05;1.0;edt;men;floral;vanilla amber musk patchouli;jasmine geranium neroli ylangylang;5.0;princess beauty;3.08;467.0;1
744;lattafa;rouat al musk;68;38.95;100.0;edp;women;oriental;vanilla amber;jasmine white flowers sandalwood;4.08;noon;4.02;98.1;0
745;mancera;wild leather;320;224.0;120.0;edp;unisex;woody;amber guaiac wood leather lichen musk;bulgarian rose patchouli violet;4.04;noon;4.02;98.1;0
746;misk perfumes;white musk perfume;05.35;5.35;6.0;oil;unisex;musk;tail rose;vanilla flowers;3.08;warddah;3.07;56.0;0
747;alina corel;monsieur coco vanilla;65;31.85;100.0;edp;unisex;floral;white musk woody notes madagascar vanilla;jasmine ylangylang tiare flower;4.07;noon;4.02;98.1;0
749;dorall collection;golden blaze;11;11.0;100.0;edp;women;musk;musk patchouli amber;ylangylang jasmine;4.03;top langri;3.07;347.0;1
753;al fakhr;kalam al oud;13.03;13.03;100.0;edp;unisex;woody;sandalwood cedarwood;black pepper cardamom;3.03;beauty;4.01;538.0;1
754;hugo boss;orange edt sp;199;110.0;100.0;edt;men;floral;vanilla woodsy notes;incense sichuan pepper;4.08;acacia rose;4.04;537.0;1
755;armaf;club de nuit milestone;135;135.0;105.0;edp;women;floral;vetiver musk ambroxan;violet sandalwood white wood;5.0;attractive perfume;3.05;244.0;0
756;bvlgari;man black;485;187.0;100.0;edp;men;spicy;tonka bean guaiac wood benzoin;leather iris tuberose;4.06;kado store;4.02;20.0;0
759;pierra katra;velvet oud;97;97.0;100.0;edp;men;arabian;cashmere wood amber musk;floral harmony magnolia honeysuckle sweet fruity raspberry nuance;3.0;london store;3.07;23.0;0
762;versace;eros;510;208.0;100.0;edp;women;citrus;sandalwood ambroxan woodsy notes musk;lemon blossom jasmine sambac jasmine peony;4.05;kingperfume;3.09;450.0;1
763;versace;eros;510;234.95;100.0;edp;women;citrus;musk ambroxan woodsy notes sandalwood;lemon blossom jasmine sambac jasmine peony;4.06;noon;4.02;98.1;0
764;lancome;la vie est belle;560;217.0;75.0;edp;women;vanilla;patchouli praline tonka beans vanilla;iris jasmine orange tree blossom;4.04;alnajm;3.07;347.0;1
767;lanvin;lhomme;110;110.0;100.0;edt;men;spicy;sandalwood amber musk;comprise pepper mint sage cardamom;5.0;queen beauty;3.09;135.0;0
768;estee lauder;wood mystique;784;479.0;100.0;edp;unisex;woody;patchouli virginia cedar benzoin agarwood leather raspberry;iris jasmine ylangylang rose mimosa;5.0;alabeer;4.0;5.0;0
770;armand basi;red;275;107.95;100.0;edt;women;citrus;palisander rosemary oakmoss white musk amber vanilla praline woody notes;lily jasmine violet leaf rose blackcurrant pink pepper peony;4.05;parvant store;3.09;76.0;0
772;dorall collection;lancy;27;0.517361111;100.0;edt;women;spicy;tonka praline patchouli vanilla;iris orange blossom jasmine;4.05;beauty;3.09;538.0;1
773;gucci;guilty;354;213.95;75.0;edt;women;floral;lily wild strawberry;litchi;4.08;amlaq;3.09;135.0;0
774;paco rabanne;one million;319;319.0;200.0;edt;men;woody;amber leather;cinnamon rose;4.05;number one;3.05;75.0;0
775;versace;bright crystal;63;21.04;5.0;edt;women;floral;plants musk red woods;lotus peony magnolia;4.05;noon;4.02;98.1;0
776;dorall collection;dc charged;0,649305556;0.649305556;100.0;edt;women;woody;praline coconut salt suede musk;floral notes apple;5.0;princess beauty;3.08;467.0;1
777;davidoff;game;215;83.95;100.0;edt;men;woody;ebony wood;iris woody notes;4.09;noon;4.02;98.1;0
778;hugo boss;boss scent;426;133.0;100.0;edt;men;spicy;leather;maninka fruit lavender;4.06;perfume ms;3.09;537.0;1
779;swiss arabian;bakhoor al arais;15;15.0;50.0;edp;unisex;arabian;amber palisander rosewood;cedar spicy;4.06;hawas;454.0;9.0;2
780;paco rabanne;invictus intense;199;199.0;100.0;edt;men;spicy;ambergris amber salt;laurels whiskey;4.07;parfumestor;3.09;537.0;1
782;ferrari;cedar essence;360;106.0;100.0;edp;men;woody;patchouli amber;marine watermelon;4.04;amlaq;3.09;135.0;0
783;jcasanova;plaisir;148;75.75;100.0;edp;women;oriental;amber;musk;4.08;top langri;4.02;347.0;1
784;dorall collection;islanders;9;9.0;100.0;edt;men;woody;guaiac wood oakmoss patchouli ambergris;bay leaf jasmine;3.04;beauty gallery;3.07;59.0;0
785;calvin klein;ck one;265;98.0;200.0;edt;unisex;citrus;sandalwood amber musk cedar oakmoss;nutmeg violet orris root jasmine lilyofthevalley rose;4.05;noon;4.02;98.1;0
787;al raheeb;oud khurafi;36;36.0;100.0;edp;unisex;fresh;cashmeran ambroxan musk;woody;5.0;beautiful lady;445.0;8.0;2
789;paco rabanne;black xs potion;162;162.0;100.0;edt;men;woody;labdanum rum;wormwood cashmere wood;4.03;beautiful live;412.0;7.0;2
790;jaguar;vision iii;347;120.0;100.0;edt;men;woody;sandalwood patchouli tonka bean cedar vanilla musk;jasmine marine notes;3.08;magic flower;3.06;5.0;0
791;versace;crystal noir;27;16.02;5.0;edt;women;arabian;amber musk sandalwood;orange blossom gardenia peony;4.04;noon;4.02;98.1;0
792;dolce gabbana;pour femme;566;195.0;100.0;edp;women;floral;guimave vanilla heliotrope sandalwood;jasmine orange blossom;5.0;parfumestor;4.01;66.0;0
794;roberto cavalli;florence;500;154.95;75.0;edp;women;floral;patchouli amber musk;orange blossom hibiscus seed grapefruit blossom;4.07;noon;4.02;98.1;0
795;milton lloyd;hawaii london;51;23.0;55.0;edt;women;floral;woody notes musk;jasmine rose;4.0;hawas;4.02;9.0;0
797;versace;crystal noir;447;215.0;90.0;edt;women;spicy;sandalwood musk amber;orange blossom peony gardenia coconut;4.08;noon;4.02;98.1;0
799;lanvin;eclat darpege;0,309027778;0.309027778;2.0;edp;women;floral;blackberry sensual musk;musk chinese osmanthus petitgrain cedar wisteria;3.08;amlaq;3.09;135.0;1
802;jcasanova;vivaldi;87;87.0;100.0;edp;women;fresh;tonka bean patchouli opoponax vanilla vetiver white musk;mimosa jasmine turkish rose ylangylang;5.0;ryhana perfume;4.02;25.0;0
804;dunhill;desire blue;280;68.0;100.0;edt;men;fresh;tonka bean musk amber benzoin;orange brazilian rosewood sea notes;4.03;modon;3.09;71.0;0
805;azzaro;chrome;121;121.0;100.0;edt;men;citrus;sandalwood tonka bean musk oakmoss cedar brazilian rosewood cardamom;cyclamen coriander jasmine oakmoss;5.0;instant;3.07;44.0;0
806;yves saint laurent;black opium;620;364.65;90.0;edp;women;vanilla;musk white wood;jasmine tea orrange blossom coffee;4.08;noon;4.02;98.1;0
808;dorall;blue princess;0,517361111;0.517361111;100.0;edt;men;oriental;musk patchouli;woody vetiver;5.0;hawas;454.0;9.0;2
809;guess;seductive;177;86.75;75.0;edt;women;spicy;vanille olibanum cashmere wood;jasmine african orange flower orris root;5.0;noon;4.02;98.1;0
810;hugo boss;boss scent;535;155.0;100.0;edp;women;fruity;cacao;osmanthus;4.06;hadayiq baris;3.08;122.0;0
811;avon;today tomorrow always;98.95;98.95;75.0;edt;men;citrus;sandalwood patchouli amber;anise;5.0;victoria;3.06;30.0;0
813;mb;tim tom leather black;19;19.0;100.0;edp;men;fresh;rose vanilla ginger;pine cardamom lavender rosemary;3.03;beautify;3.06;528.0;1
814;diesel;plus plus masculine;50;30.0;75.0;edt;men;spicy;vetiver musk sandalwood patchouli oak moss nutmeg clove cinnamon tonka bean anise;jasmine birch sage cardamom coriander lilyofthevalley violet green notes;4.05;attractive perfume;3.05;244.0;1
815;lacoste;edttouch pink wom;335;89.0;90.0;edt;women;citrus;woody musk vanilla;jasmine carrot spicy coriander;4.08;cute shop;3.07;98.0;0
816;gucci;guilty absolute;515;230.0;90.0;edp;men;woody;woody notes vetiver;patchouli cypress;4.01;rayhanti;3.08;537.0;1
817;amouage;epic;653;653.0;100.0;edp;women;jasmine;rose geranium jasmine tea;rose geranium jasmine tea;4.03;beautiful live;412.0;7.0;2
818;versace;bright crystal;430;169.95;90.0;edt;women;floral;amber musk mahogany;peonylotus magnolia;4.08;noon;4.02;98.1;0
819;mb;sweetheart rockstar;10.08;10.08;100.0;edp;women;fresh;rose vanilla ginger;pine cardamom lavender rosemary;4.05;beautify;3.06;531.0;1
821;davidoff;hot water;215;76.95;110.0;edt;men;arabian;styrax benzoin;pimento patchouli;4.06;amlaq;3.09;135.0;0
822;st dupont;passenger;103;103.0;100.0;edt;men;spicy;guaiac wood benzoin;ginger cardamom pink pepper lavender;5.0;beautiful live;412.0;7.0;2
825;joop;homme;223;55.0;125.0;edt;men;citrus;vanilla tonka bean patchouli sandalwood;jasmine lily valley heliotrope cinnamon;4.04;hadayiq baris;3.08;122.0;0
827;tesori doriente;white musk;60;39.95;100.0;edt;men;woody;aldehyde jasmine white flowers;rose;4.02;bag;3.08;14.1;0
828;stella mccartney;stella;460;197.95;100.0;edp;women;floral;amber;rose;4.08;noon;4.02;98.1;0
830;alina corel;ever;33.85;33.85;100.0;edp;men;spicy;guaiac wood benzoin;ginger cardamom pink pepper lavender;5.0;beautiful live;412.0;7.0;2
834;paco rabanne;million;395;172.0;100.0;edt;men;woody;leather woody notes amber indian patchouli;rose cinnamon spicy notes;4.06;alnajm;3.07;347.0;1
837;ted lapidus;creation;101;50.0;100.0;edt;women;floral;jasmine rose tuberose carnation;jasmine rose tuberose carnation;4.07;alkhalijiah perfume;3.05;88.0;0
838;guerlain;linstant magic;725;422.0;100.0;edp;women;woody;wood almond;rose freesia;4.07;parfum;3.05;33.0;0
839;lattafa;rouat al musk;68;38.95;100.0;edp;women;oriental;vanilla amber;jasmine white flowers sandalwood;4.08;noon;4.02;98.1;0
840;dunhill;london;290;109.65;75.0;edt;men;arabian;patchouli sandalwood tonka bean vanilla musk;rose geranium jasmine;3.04;amlaq;3.09;135.0;0
841;tri;en joy;10;9.09;100.0;edt;women;floral;sandalwood cedar patchoulli musk benzoin;rose jasmine cassis peach;4.01;parisian store;3.09;425.0;1
842;mancera;roses greedy;450;258.95;120.0;edp;unisex;floral;white musk amber vanilla sugar benzoin;rose jasmine flowers;4.06;noon;4.02;98.1;0
844;burberry;mr burberry;515;179.95;100.0;edp;men;woody;patchouli amber sandalwood vetiver benzoin cinnamon;lavender cedar nutmeg;4.05;noon;4.02;98.1;0
845;dorall collection;oud maaruf;29;11.49;100.0;edt;men;arabian;sandalwood musk woody amber patchouli oudh dry woodyamber amber;rose raspberry dried fruits ylang geranium jasmin orris muguet saffron;4.0;bag;4.02;14.1;0
849;mancera;roses vanille;450;285.0;120.0;edp;women;arabian;cedar vanilla sugar white musk;rose sugar;4.09;amlaq;3.09;135.0;0
850;mancera;roses vanille;450;239.95;120.0;edp;women;arabian;vanilla sugar white musk cedar;rose sugar;4.07;noon;4.02;98.1;0
853;bvlgari;man black;485;187.0;100.0;edp;men;spicy;tonka bean guaiac wood benzoin;leather iris tuberose;4.06;kado store;3.06;20.0;0
856;alina corel;monsieur oud;51;30.95;100.0;edp;unisex;musk;cedar musk;rose water;4.05;noon;4.02;98.1;0
857;versace;eros;510;208.0;100.0;edp;women;citrus;sandalwood ambroxan woodsy notes musk;lemon blossom jasmine sambac jasmine peony;4.05;kingperfume;3.06;450.0;1
858;versace;eros;510;234.95;100.0;edp;women;citrus;musk ambroxan woodsy notes sandalwood;lemon blossom jasmine sambac jasmine peony;4.06;noon;4.02;98.1;0
861;lalique;encre noire;165;140.0;100.0;edt;men;woody;sandalwood;lemongrass;4.04;kikup;3.06;23.0;0
865;gucci;rush;576;361.0;50.0;edt;women;floral;oakmoss musk black currant;lily gardenia plam tree narcissus;4.04;tiffany;4.01;5.0;0
868;jean paul gaultier;scandal;505;354.95;80.0;edp;women;floral;vanilla musk labdanum;tiare flower jasmine orange blossom;4.05;noon;4.02;98.1;0
869;armand basi;red;275;107.95;100.0;edt;women;citrus;palisander rosemary oakmoss white musk amber vanilla praline woody notes;lily jasmine violet leaf rose blackcurrant pink pepper peony;4.05;parvant store;4.01;76.0;0
870;versace;eros;430;202.0;100.0;edt;men;arabian;madagascar vanilla virginian cedar atlas cedar vetiver oakmoss;tonka bean geranium ambroxan;4.05;noon;4.02;98.1;0
871;yves saint laurent;manifesto;725;207.85;90.0;edp;women;floral;cedar sandalwood vanilla tonka bean;lilyofthevalley jasmine sambac;3.0;number one;4.01;63.0;0
872;gucci;bloom;695;325.65;100.0;edp;women;floral;rangoon creeper;tuberose;4.06;noon;4.02;98.1;0
873;gucci;guilty;354;213.95;75.0;edt;women;floral;lily wild strawberry;litchi;4.08;amlaq;3.09;135.0;0
874;gucci;bloom;573;315.85;100.0;edp;women;floral;rangoon creeper;tuberose;4.02;noon;4.02;98.1;0
875;versace;crystal noir;447;172.0;90.0;edp;women;floral oriental;sandalwood cashmeran vanilla pod heliotropine;tuberose frangipani jasmine dry;4.04;flower;4.02;98.0;0
876;hugo boss;boss scent;426;133.0;100.0;edt;men;spicy;leather;maninka fruit lavender;4.06;perfume ms;4.01;537.0;1
877;gucci;bloom nettare di fiori;630;329.85;100.0;edp;women;floral;patchoulie musk schijnhulst;tuberose honeysuckle jasmine;4.03;noon;4.02;98.1;0
879;lacoste;l blanc;244;88.0;100.0;edt;men;woody;leather suede cedar;mexican tuberose ylangylang;3.07;hadayiq baris;3.08;122.0;0
882;niya;hawaiian musk;99;49.0;100.0;edp;men;woody;musk oakmoss vanilla;moroccan jasmine patchouli birch rose;4.05;noon;4.02;98.1;0
883;genie collection;premium;35;14.05;25.0;edp;unisex;oriental;amber patchouli musk;tuberose ylangylang jasmine;5.0;genie collection;3.08;32.0;0
884;guess;homme;210;98.0;100.0;edt;men;spicy;patchouli sandalwood amber musk;vanilla orchid violet leaves vetiver;4.04;starperfume;3.05;537.0;1
886;niya;prive maison sandalwood;247;99.0;100.0;edp;men;woody;sandalwood vanilla musk;muguet violet tuberose;4.07;noon;4.02;98.1;0
888;roberto cavalli;cavalli;357;101.95;90.0;edt;men;woody;leather;vetiver;4.08;noon;4.02;98.1;0
889;avon;tomorrow;130;70.0;50.0;edp;women;floral;powdery floral woody balsamic rose;musk;4.05;tiffany;4.01;54.0;0
890;jcasanova;plaisir;148;75.75;100.0;edp;women;oriental;amber;musk;4.08;top langri;4.03;347.0;1
891;givenchy;pour homme;375;117.85;100.0;edt;men;spicy;labdanum cedar;vetiver lavender extract;4.07;hadayiq baris;3.08;122.0;0
894;calvin klein;ck one;265;98.0;200.0;edt;unisex;citrus;sandalwood amber musk cedar oakmoss;nutmeg violet orris root jasmine lilyofthevalley rose;4.05;noon;4.02;98.1;0
898;hugo boss;nuit;415;162.0;75.0;edp;women;floral;sandalwood crystal moss warm woods;violet jasmin white florals;4.08;amlaq;3.09;135.0;0
899;roberto cavalli;florence;500;154.95;75.0;edp;women;floral;patchouli amber musk;orange blossom hibiscus seed grapefruit blossom;4.07;noon;4.02;98.1;0
900;elizabeth taylor;white diamonds;220;118.85;100.0;edt;women;floral;oak moss patchouli musk sandalwood amber;violet rose jasmine ylangylang;4.03;noon;4.02;98.1;0
903;dolce gabbana;limperatrice;300;156.75;100.0;edt;women;floral;citrus wood musks sandalwood;watermelon cyclamen jasmine;4.06;noon;4.02;98.1;0
904;roberto;paradiso assoluto;515;127.65;75.0;edp;women;floral;patchouli sandalwood vanilla cashmeran;wild jasmine red lily passionfruit;4.05;noon;4.02;98.1;0
906;roberto cavalli;paradiso assoluto;515;139.0;75.0;edp;women;floral;patchouli sandalwood vanilla cashmeran;wild jasmine red lily passionfruit;5.0;noon;4.02;98.1;0
909;roberto cavalli;paradiso azzuro;499;175.0;75.0;edp;women;fruity;cypress cashmere wood amberwood sandalwood;wild jasmine watery notes apple peach rose tuberose;4.07;amlaq;3.09;135.0;0
910;roberto cavalli;paradiso azzurro;499;165.0;75.0;edp;women;fruity;cypress cashmere wood amber wood sandalwood vanilla;wild jasmine watery notes apple tuberose peach rose;4.07;beauty group;4.02;124.0;0
911;roberto cavalli;women;430;103.0;75.0;edp;women;arabian;benzointonka beansvanilla;orange tree blossom;5.0;richlight;3.05;69.0;0
912;guess;dare;170;75.0;100.0;edt;women;citrus;coconut accords wood musk;wild rose elegant jasmine;4.09;noon;4.02;98.1;0
913;dunhill;desire blue;280;68.0;100.0;edt;men;fresh;tonka bean musk amber benzoin;orange brazilian rosewood sea notes;4.03;modon;3.06;71.0;0
914;burberry;women edp natural sp;378;153.75;100.0;edp;women;fruity;musk vanilla;woodyfloral sandalwood cedar;4.08;noon;4.02;98.1;0
916;jovan;musk cologne sp;55;19.0;59.0;edt;women;woody;musk amber wood;ylangylang;4.07;cute;3.07;1.9;0
918;hugo boss;scent;535;155.0;100.0;edp;women;fruity;cacao;osmanthus;4.05;noon;4.02;98.1;0
919;davidoff;adventure;210;219.0;100.0;edt;men;woody;vetivercederwhitemusk;warm spices wild aromatic black sesame south american pimento;4.05;garmid;3.07;98.0;0
921;dolce gabbana;limperatrice;300;300.0;100.0;edt;women;floral;citrus wood musks sandalwood;watermelon cyclamen jasmine;4.06;garmid;3.07;98.0;0
922;mancera;red tobacco;590;340.0;120.0;edp;men;woody;precious tobacco amber woody notes vetiver vanilla pods white musk;patchouli leaves jasmine;4.07;faces;3.07;61.0;0
924;roberto;paradiso assoluto;515;515.0;75.0;edp;women;floral;patchouli sandalwood vanilla cashmeran;wild jasmine red lily passionfruit;4.05;garmid;3.07;98.0;0
925;roberto cavalli;paradiso assoluto;515;515.0;75.0;edp;women;floral;patchouli sandalwood vanilla cashmeran;wild jasmine red lily passionfruit;5.0;garmid;3.07;98.0;0
926;gucci;guilty absolute;515;230.0;90.0;edp;men;woody;woody notes vetiver;patchouli cypress;4.01;rayhanti;3.05;537.0;1
927;versace;bright crystal;430;169.95;90.0;edt;women;floral;amber musk mahogany;peonylotus magnolia;4.08;noon;4.02;98.1;0
928;roberto cavalli;paradiso azzuro;499;499.0;75.0;edp;women;fruity;cypress cashmere wood amberwood sandalwood;wild jasmine watery notes apple peach rose tuberose;4.07;garmid;3.07;135.0;0
929;dunhill;custom;330;89.85;100.0;edt;men;floral;virginia cedar incense;pepper;4.03;noon;4.02;98.1;0
930;roberto cavalli;paradiso azzurro;499;499.0;75.0;edp;women;fruity;cypress cashmere wood amber wood sandalwood vanilla;wild jasmine watery notes apple tuberose peach rose;4.07;garmid;3.07;124.0;0
931;guess;dare;170;75.0;100.0;edt;women;citrus;coconut accords wood musk;wild rose elegant jasmine;4.09;noon;3.07;98.1;0
932;davidoff;hot water;215;76.95;110.0;edt;men;arabian;styrax benzoin;pimento patchouli;4.06;amlaq;3.09;135.0;0
933;burberry;women edp natural sp;378;153.75;100.0;edp;women;fruity;musk vanilla;woodyfloral sandalwood cedar;4.08;garmid;3.07;98.0;0
934;dolce gabbana;k;338;269.0;100.0;edt;men;woody;blood orange pressed sicilian lemon juniper berries;pimento clary sage geranium lavandin;4.01;grass gulf;3.07;98.0;0
935;jovan;musk cologne sp;55;19.0;59.0;edt;women;woody;musk amber wood;ylangylang;4.07;garmid;3.07;1.9;0
936;dolce gabbana;k;26;14.01;100.0;edt;men;aromatic;woody masculine cedarwood vetiver patchouli accords;pimento clary sage geranium lavandin;3.0;beautiful lady;4.03;5.0;0
939;hugo boss;bottled unlimited;373;126.0;100.0;edt;men;vanilla;sandalwood musk;pineapple rose;4.04;alnajm;3.07;347.0;1
940;giorgio armani;stronger;415;170.0;100.0;edt;men;vanilla;vanilla chestnut cedar amber wood guaiac wood;pineapple sage melon cinnamon lavender;4.05;hadayiq baris;3.08;122.0;0
942;dorall collection;pink hearts;29;8.15;100.0;edt;women;floral;caramel musk tonka sandalwood vanilla;red berries lily valley licorice cotton candy strawberry;4.04;bag;3.07;14.1;0
945;tesori doriente;white musk;60;39.95;100.0;edt;men;woody;aldehyde jasmine white flowers;rose;4.02;bag;3.07;14.1;0
947;burberry;blush;431;181.0;50.0;edp;women;arabian;jasminewisteria;rose petals green apple geranium;4.06;fnoon;3.07;5.0;0
949;guerlain;linstant magic;725;422.0;100.0;edp;women;woody;wood almond;rose freesia;4.07;parfum;4.01;33.0;0
950;dunhill;london;290;109.65;75.0;edt;men;arabian;patchouli sandalwood tonka bean vanilla musk;rose geranium jasmine;3.04;amlaq;3.09;135.0;0
951;burberry;body mini ed;34;23.0;5.0;edt;women;woody;sandalwood cashmerean musk amber vanilla;rose iris;1.0;royal scent;3.05;5.0;0
952;tri;en joy;10;9.09;100.0;edt;women;floral;sandalwood cedar patchoulli musk benzoin;rose jasmine cassis peach;4.01;parisian store;4.01;425.0;1
953;mancera;rose greedy;446;269.0;120.0;edp;unisex;rose floral;white musk amber vanilla sugar;rose jasmine flowers;4.05;amlaq;3.09;135.0;0
954;dorall collection;oud maaruf;29;11.49;100.0;edt;men;arabian;sandalwood musk woody amber patchouli oudh dry woodyamber amber;rose raspberry dried fruits ylang geranium jasmin orris muguet saffron;4.0;bag;3.07;14.1;0
956;mancera;roses vanille;450;285.0;120.0;edp;women;arabian;cedar vanilla sugar white musk;rose sugar;4.09;amlaq;3.09;135.0;0
957;mancera;roses vanille;450;239.95;120.0;edp;women;arabian;vanilla sugar white musk cedar;rose sugar;4.07;noon;4.02;98.1;0
959;parfums gres;cabotine;135;75.0;100.0;edt;women;floral;cedarwood vanilla tonka bean cybet musk amber;rose tuberose ylangylang ginger lily hyacinth heliotrope freesia violet iris;4.08;amlaq;3.09;135.0;0
960;alina corel;monsieur oud;51;30.95;100.0;edp;unisex;musk;cedar musk;rose water;4.05;noon;4.02;98.1;0
962;yves saint laurent;kouros silver;540;190.0;100.0;edt;men;fruity;amber woody notes;sage;4.05;queen beauty;3.05;5.0;0
964;davidoff;cool water;150;71.75;75.0;edt;men;aromatic;musk oakmoss cedar amber;sandalwood geranium neroli jasmine;4.01;noon;4.02;98.1;0
966;bvlgari;aqva marine pour homme;331;163.95;100.0;edt;men;citrus;virginia cedar amber;seaweed rosemary water notes;4.08;hadayiq baris;3.08;122.0;0
971;bvlgari;petits et mamans;254;193.95;100.0;edt;women;floral;iris vanilla white peach powdery notes;sunflower chamomile rose;4.08;noon;4.02;98.1;0
973;jean paul gaultier;scandal;505;354.95;80.0;edp;women;floral;vanilla musk labdanum;tiare flower jasmine orange blossom;4.05;noon;4.02;98.1;0
975;gucci;bloom;695;325.65;100.0;edp;women;floral;rangoon creeper;tuberose;4.06;noon;4.02;98.1;0
976;versace;crystal noir;447;172.0;90.0;edp;women;floral oriental;sandalwood cashmeran vanilla pod heliotropine;tuberose frangipani jasmine dry;4.04;flower;3.07;98.0;0
977;gucci;bloom nettare di fiori;630;329.85;100.0;edp;women;floral;patchoulie musk schijnhulst;tuberose honeysuckle jasmine;4.03;noon;4.02;98.1;0
979;carolina herrera;good girl;565;168.0;80.0;edp;women;arabian;tonka bean cocoa;tuberose jasmine sambac;4.01;hadayiq baris;3.08;122.0;0
980;genie collection;premium;35;14.05;25.0;edp;unisex;oriental;amber patchouli musk;tuberose ylangylang jasmine;5.0;genie collection;3.07;32.0;0
981;rasasi;oud almubakhar;40;30.85;100.0;edp;men;arabian;sandalwood tonka bean musk patchouli;turkish rose violet geranium;4.0;noon;4.02;98.1;0
983;roberto cavalli;nero assoluto;515;105.0;75.0;edp;women;arabian;ebony woody notes;vanilla;4.06;noon;4.02;98.1;0
984;guess;homme;210;98.0;100.0;edt;men;spicy;patchouli sandalwood amber musk;vanilla orchid violet leaves vetiver;4.04;starperfume;3.09;537.0;1
986;roberto cavalli;cavalli;357;101.95;90.0;edt;men;woody;leather;vetiver;4.08;noon;4.02;98.1;0
987;hugo boss;bottled night;688;250.0;200.0;edt;men;woody;musk woody notes;violet;4.05;lady style;3.06;5.0;0
990;hugo boss;nuit;415;162.0;75.0;edp;women;floral;sandalwood crystal moss warm woods;violet jasmin white florals;4.08;amlaq;3.09;135.0;0
991;elizabeth taylor;white diamonds;220;118.85;100.0;edt;women;floral;oak moss patchouli musk sandalwood amber;violet rose jasmine ylangylang;4.03;noon;4.02;98.1;0
994;montblanc;legend spirit;342;140.0;100.0;edt;men;citrus;white musk white woods cashmere wood oakmoss;water notes lavender cardamom;4.07;hadayiq baris;3.08;122.0;0
995;bvlgari;petits et mamans;327;197.75;100.0;edt;women;floral;iris vanilla;white peach;4.08;tiffany;4.01;75.0;0
996;roberto cavalli;paradiso assoluto;515;139.0;75.0;edp;women;floral;patchouli sandalwood vanilla cashmeran;wild jasmine red lily passionfruit;5.0;noon;4.02;98.1;0
997;roberto cavalli;paradiso azzurro;499;165.0;75.0;edp;women;fruity;cypress cashmere wood amber wood sandalwood vanilla;wild jasmine watery notes apple tuberose peach rose;4.07;beauty group;4.03;124.0;0
998;guess;dare;170;75.0;100.0;edt;women;citrus;coconut accords wood musk;wild rose elegant jasmine;4.09;noon;4.02;98.1;0
999;burberry;women edp natural sp;378;153.75;100.0;edt;women;fruity;musk vanilla;woodyfloral sandalwood cedar;4.08;noon;4.02;98.1;0
1000;jovan;musk cologne sp;55;19.0;59.0;edt;women;woody;musk amber wood;ylangylang;4.07;cute;3.07;1.9;0
1001;swiss arabian;layali cpo;126;77.0;15.0;edt;unisex;arabian;agarwood amber;ylangylang rose jasmine;4.0;swiss arabian perfumesprice update vat july;3.09;5.0;0
